Site,sitetype,Scientific name,Present,Common Name
FF,Garden,Dendroica Yechia,0,Yellow Warbler
A,Garden,Elaenia chiriquensis,0,Lesser Elaenia
B,Garden,Elaenia chiriquensis,0,Lesser Elaenia
C,Forest,Elaenia chiriquensis,1,Lesser Elaenia
D,Garden,Elaenia chiriquensis,0,Lesser Elaenia
E,Scrub,Elaenia chiriquensis,1,Lesser Elaenia
F,Scrub,Elaenia chiriquensis,0,Lesser Elaenia
G,Forest,Elaenia chiriquensis,0,Lesser Elaenia
H,Forest,Elaenia chiriquensis,0,Lesser Elaenia
I,Forest,Elaenia chiriquensis,1,Lesser Elaenia
J,Garden,Elaenia chiriquensis,0,Lesser Elaenia
K,Garden,Elaenia chiriquensis,0,Lesser Elaenia
L,Scrub,Elaenia chiriquensis,1,Lesser Elaenia
M,Garden,Elaenia chiriquensis,0,Lesser Elaenia
N,Garden,Elaenia chiriquensis,0,Lesser Elaenia
O,Garden,Elaenia chiriquensis,0,Lesser Elaenia
P,Forest,Elaenia chiriquensis,0,Lesser Elaenia
Q,Garden,Elaenia chiriquensis,0,Lesser Elaenia
R,Garden,Elaenia chiriquensis,0,Lesser Elaenia
S,Scrub,Elaenia chiriquensis,1,Lesser Elaenia
T,Forest,Elaenia chiriquensis,0,Lesser Elaenia
U,Garden,Elaenia chiriquensis,0,Lesser Elaenia
V,Garden,Elaenia chiriquensis,0,Lesser Elaenia
X,Garden,Elaenia chiriquensis,0,Lesser Elaenia
Y,Garden,Elaenia chiriquensis,0,Lesser Elaenia
Z,Scrub,Elaenia chiriquensis,0,Lesser Elaenia
AA,Garden,Elaenia chiriquensis,0,Lesser Elaenia
BB,Scrub,Elaenia chiriquensis,0,Lesser Elaenia
CC,Garden,Elaenia chiriquensis,0,Lesser Elaenia
DD,Garden,Elaenia chiriquensis,0,Lesser Elaenia
EE,Scrub,Elaenia chiriquensis,0,Lesser Elaenia
FF,Garden,Elaenia chiriquensis,0,Lesser Elaenia
A,Garden,Elaenia Vtinica,0,Caribbean Elaenia
B,Garden,Elaenia Vtinica,0,Caribbean Elaenia
C,Forest,Elaenia Vtinica,0,Caribbean Elaenia
D,Garden,Elaenia Vtinica,0,Caribbean Elaenia
E,Scrub,Elaenia Vtinica,0,Caribbean Elaenia
F,Scrub,Elaenia Vtinica,0,Caribbean Elaenia
G,Forest,Elaenia Vtinica,0,Caribbean Elaenia
H,Forest,Elaenia Vtinica,0,Caribbean Elaenia
I,Forest,Elaenia Vtinica,0,Caribbean Elaenia
J,Garden,Elaenia Vtinica,0,Caribbean Elaenia
K,Garden,Elaenia Vtinica,0,Caribbean Elaenia
L,Scrub,Elaenia Vtinica,0,Caribbean Elaenia
M,Garden,Elaenia Vtinica,0,Caribbean Elaenia
N,Garden,Elaenia Vtinica,0,Caribbean Elaenia
O,Garden,Elaenia Vtinica,0,Caribbean Elaenia
P,Forest,Elaenia Vtinica,0,Caribbean Elaenia
Q,Garden,Elaenia Vtinica,0,Caribbean Elaenia
R,Garden,Elaenia Vtinica,0,Caribbean Elaenia
S,Scrub,Elaenia Vtinica,1,Caribbean Elaenia
T,Forest,Elaenia Vtinica,0,Caribbean Elaenia
U,Garden,Elaenia Vtinica,0,Caribbean Elaenia
V,Garden,Elaenia Vtinica,0,Caribbean Elaenia
X,Garden,Elaenia Vtinica,0,Caribbean Elaenia
Y,Garden,Elaenia Vtinica,0,Caribbean Elaenia
Z,Scrub,Elaenia Vtinica,0,Caribbean Elaenia
AA,Garden,Elaenia Vtinica,0,Caribbean Elaenia
BB,Scrub,Elaenia Vtinica,0,Caribbean Elaenia
CC,Garden,Elaenia Vtinica,0,Caribbean Elaenia
DD,Garden,Elaenia Vtinica,0,Caribbean Elaenia
EE,Scrub,Elaenia Vtinica,0,Caribbean Elaenia
FF,Garden,Elaenia Vtinica,0,Caribbean Elaenia
A,Garden,Falco sparverius,0,American Kestrel
B,Garden,Falco sparverius,0,American Kestrel
C,Forest,Falco sparverius,0,American Kestrel
D,Garden,Falco sparverius,0,American Kestrel
E,Scrub,Falco sparverius,1,American Kestrel
F,Scrub,Falco sparverius,0,American Kestrel
G,Forest,Falco sparverius,0,American Kestrel
H,Forest,Falco sparverius,0,American Kestrel
I,Forest,Falco sparverius,0,American Kestrel
J,Garden,Falco sparverius,0,American Kestrel
K,Garden,Falco sparverius,0,American Kestrel
