StudyArea,Location,Species,Detections,TrapNights
Harmony Hill,Camera 2,White-tailed deer,13,19.071
Harmony Hill,Camera 3,White-tailed deer,10,21.901
Harmony Hill,Camera 4,White-tailed deer,3,34.974
Harmony Hill,Camera 5,White-tailed deer,78,54
Harmony Hill,Center,White-tailed deer,36,43.713
Haverford Reserve,Camera 2,White-tailed deer,22,47.615
Haverford Reserve,Camera 3,White-tailed deer,18,17.143
Haverford Reserve,Camera 4,White-tailed deer,7,26.216
Haverford Reserve,Camera 5,White-tailed deer,53,34.984
Haverford Reserve,Camera 6,White-tailed deer,20,54
Haverford Reserve,Center,White-tailed deer,14,17.938
Morris Park,Camera 2,White-tailed deer,8,28.21
Morris Park,Camera 3,White-tailed deer,7,57.322
Morris Park,Camera 4,White-tailed deer,6,40.777
Morris Park,Camera 5,White-tailed deer,4,46
Morris Park,Center,White-tailed deer,11,14.775
Two Gander Farm,Camera 2,White-tailed deer,19,41.849
Two Gander Farm,Camera 4,White-tailed deer,36,32.983
Two Gander Farm,Camera 5,White-tailed deer,137,54
Two Gander Farm,Center,White-tailed deer,6,21.478
Waterloo Mill E,Camera 2,White-tailed deer,9,25.943
Waterloo Mill E,Camera 3,White-tailed deer,1,35.07
Waterloo Mill E,Camera 4,White-tailed deer,11,17.919
Waterloo Mill E,Camera 5,White-tailed deer,17,34.806
Waterloo Mill E,Camera 6,White-tailed deer,70,54
Waterloo Mill E,Center,White-tailed deer,26,25.901
Waterloo Mill W,Camera 2,White-tailed deer,12,25.794
Waterloo Mill W,Camera 3,White-tailed deer,18,53.111
Waterloo Mill W,Camera 4,White-tailed deer,26,34.969
Waterloo Mill W,Camera 5,White-tailed deer,16,34.806
Waterloo Mill W,Center,White-tailed deer,3,1.754
West Fairmont,Camera 2,White-tailed deer,5,44.73
West Fairmont,Camera 3,White-tailed deer,11,37.257
West Fairmont,Camera 4,White-tailed deer,2,40.849
West Fairmont,Camera 5,White-tailed deer,12,46
West Fairmont,Center,White-tailed deer,1,12.031
Wissahickon,Camera 2,White-tailed deer,7,40.899
Wissahickon,Camera 3,White-tailed deer,11,34.101
Wissahickon,Camera 4,White-tailed deer,5,21.191
Wissahickon,Camera 5,White-tailed deer,42,40.703
Wissahickon,Camera 6,White-tailed deer,20,46
Wissahickon,Center,White-tailed deer,1,11.554
